s,ts_utc,begins,completed,success,unexpected,drops,in_ckpt_local,bin_present
1790147634,2026-09-23T07:13:54+00:00,2000,1967,1953,0,0,True,True
1790147635,2026-09-23T07:13:55+00:00,2000,2046,2040,0,0,True,True
1790147636,2026-09-23T07:13:56+00:00,1999,2006,1999,0,0,True,True
1790147637,2026-09-23T07:13:57+00:00,2001,2008,1994,0,0,True,True
1790147638,2026-09-23T07:13:58+00:00,2000,2001,1997,0,0,True,True
1790147639,2026-09-23T07:13:59+00:00,2000,2002,1989,0,0,True,True
1790147640,2026-09-23T07:14:00+00:00,2000,2001,1993,0,0,True,True
1790147641,2026-09-23T07:14:01+00:00,2000,2001,1990,0,0,True,True
1790147642,2026-09-23T07:14:02+00:00,2000,1946,1941,0,0,True,True
1790147643,2026-09-23T07:14:03+00:00,2000,2050,2042,0,0,True,True
1790147644,2026-09-23T07:14:04+00:00,2000,1996,1986,0,0,True,True
1790147645,2026-09-23T07:14:05+00:00,2000,2008,1997,0,0,True,True
1790147646,2026-09-23T07:14:06+00:00,1999,1967,1960,0,0,True,True
1790147647,2026-09-23T07:14:07+00:00,2000,2035,2021,0,0,True,True
1790147648,2026-09-23T07:14:08+00:00,2000,1991,1978,0,0,True,True
1790147649,2026-09-23T07:14:09+00:00,2001,2011,1996,0,0,True,True
1790147650,2026-09-23T07:14:10+00:00,2000,1999,1983,0,0,True,True
1790147651,2026-09-23T07:14:11+00:00,2000,1996,1986,0,0,True,True
1790147652,2026-09-23T07:14:12+00:00,1999,1999,1987,0,0,True,True
1790147653,2026-09-23T07:14:13+00:00,2000,2001,1976,0,0,True,True
1790147654,2026-09-23T07:14:14+00:00,2000,2003,1985,0,0,True,True
1790147655,2026-09-23T07:14:15+00:00,2001,1995,1975,0,0,True,True
1790147656,2026-09-23T07:14:16+00:00,2000,1993,1979,0,0,True,True
1790147657,2026-09-23T07:14:17+00:00,2000,2011,1993,0,0,True,True
1790147658,2026-09-23T07:14:18+00:00,2000,1999,1986,0,0,True,True
1790147659,2026-09-23T07:14:19+00:00,2000,1994,1973,0,0,True,True
1790147660,2026-09-23T07:14:20+00:00,2000,1984,1963,0,0,True,True
1790147661,2026-09-23T07:14:21+00:00,1999,2021,1997,0,0,True,True
1790147662,2026-09-23T07:14:22+00:00,2001,1999,1978,0,0,True,True
1790147663,2026-09-23T07:14:23+00:00,2000,1992,1972,0,0,True,True
1790147664,2026-09-23T07:14:24+00:00,2000,2006,1977,0,0,True,True
1790147665,2026-09-23T07:14:25+00:00,2000,2003,1977,0,0,True,True
1790147666,2026-09-23T07:14:26+00:00,2000,2002,1967,0,0,True,True
1790147667,2026-09-23T07:14:27+00:00,2000,1999,1975,0,0,True,True
1790147668,2026-09-23T07:14:28+00:00,2000,1997,1970,0,0,True,True
1790147669,2026-09-23T07:14:29+00:00,2000,1996,1969,0,0,True,True
1790147670,2026-09-23T07:14:30+00:00,2000,2005,1979,0,0,True,True
1790147671,2026-09-23T07:14:31+00:00,2000,1997,1969,0,0,True,True
1790147672,2026-09-23T07:14:32+00:00,1999,2004,1991,0,0,True,True
1790147673,2026-09-23T07:14:33+00:00,2000,2000,1974,0,0,True,True
1790147674,2026-09-23T07:14:34+00:00,2001,2002,1971,0,0,True,True
1790147675,2026-09-23T07:14:35+00:00,2000,1976,1950,0,0,True,True
1790147676,2026-09-23T07:14:36+00:00,2000,2017,1989,0,0,True,True
1790147677,2026-09-23T07:14:37+00:00,2000,2002,1966,0,0,True,True
1790147678,2026-09-23T07:14:38+00:00,1999,2001,1977,0,0,True,True
